notice_title,notice_deadline,org_country
Rfp22-2026: Recrutement D’Un Bureau D’Etudes Spécialisé Pour La Mise En Œuvre D’,06/22/2026:18:00:00,TN
Tender Notice For Framework Contract For Road Maintenance Works At Gabiro Agribusiness Hub Ltd,06/23/2026:00:00:00,RW
Acquisition Of Electricity Operating Equipment And Tools On Behalf Of The Provincial Directorate Of Figuig,06/23/2026:09:00:00,MA
Purchase Of Office Furniture For The Needs Of The Statistics Directorate.,06/23/2026:10:00:00,MA
"Carrying Out The Certification Service For The Barid Al-Maghrib Datacenter (Slice Market
Conditional)",06/23/2026:10:00:00,MA
"Development And Rehabilitation Work On Educational Establishments Under The Provincial Management Of Marrakech In Six Separate Lots:
 Lot No. 01: Development And Rehabilitation Work At The Ilya Aboumadi College High School In Marrakech. 
 Lot N°02: Development And Rehabilitation Work On The Abdlouahed Elmorrakochi Primary School In Marrakech.
 Lot N°03: Development And Rehabilitation Work On The Abdelkrim Elkhattabi Primary School In Marrakech.
 Lot N°04: Development And Rehabilitation Work On The Essaadyine Primary School In Marrakech.
 Lot N°05: Development And Rehabilitation Work On The Bab Atlas Primary School In Marrakech.
 Lot N°06: Development And Rehabilitation Work On The Ouled Ahmed Satellite In Marrakech.",06/23/2026:10:00:00,MA
Courier Services And Legionella Analysis Services Reissue,06/23/2026:10:00:00,ZA
Legionella Aervices And Courier Services Contract,06/23/2026:10:00:00,ZA
Acquisition Of Aluminum Paper,06/23/2026:10:00:00,TN
"Live Recording, Broadcast And Audiovisual Production Of Horse Breeding Competitions On Behalf Of Sorec, In A Single Batch.",06/23/2026:10:00:00,MA
Renovation Work On The Plumbing Installation Of The Children'S Hospital And The Chuis Directorate,06/23/2026:10:00:00,MA
Establishment Of Framework Agreement For Supply Of Laboratory Reagents,06/23/2026:11:00:00,RW
"Advert For The Panel For Supplying And Delivering Of Argon Baseline Gas, Helium Baseline Gas, Nitrogen Baseline Gas And Synthetic Air For A Period Of Five Years - Tender No. Lnw 03/25/26",06/23/2026:11:00:00,ZA
Vehicle - 13-Seater Bus - Ugbs,06/23/2026:11:00:00,GH
Request Potential Bidders For Proposals (Rfp) For The Appointment Of A Principal Agent In The Built-Environment For A Period Of Five (5) Years,06/23/2026:11:00:00,ZA
Authorization For Temporary Occupancy Of The Maritim Public Domain Of The Temara Beaches -Casino-Contrebandier And Sables D'Or Made Available To The Community Of Harhoura By The Ministry Of Equipment And Water Through The Call For Auction In A Single Lot,06/23/2026:11:00:00,MA
Request Potential Bidders For Proposals (Rfp) For The Provision Of Internal Audit Services For Five (5) Years Contract Period: Five (5) Years,06/23/2026:11:00:00,ZA
Request For Quotation (Rfq) For Appointment Of A Service Provider For The Provision Of Ad-Hoc Employeee Transport Services For Iziko Museums Of South Africa’S Staff Members Residing At Various Locations For A Period Of 1 Year (12 Months),06/23/2026:11:00:00,ZA
Computer Hardware Supply,06/23/2026:12:00:00,MA
"Receipt Of Excavation Funds, Monitoring And Quality Control Of The Restoration Work On The “Sbaat Rijal” Mosque And Its Dependencies In Marrakech, In A Single Batch.",06/23/2026:14:30:00,MA
Public Lighting Works In Douars Covering The Province Of Fahs Anjra Phase 1,06/23/2026:16:00:00,MA
Rehabilitation Works Of The Ghernioua Mosque,06/23/2026:16:00:00,MA
The Supply And Maintenance Of Fire Equipment Services And All Related Products And Services For A Period Of Three (3) Years For The Purco Sa Membership,06/23/2026:23:30:00,ZA
Supply And Maintenance Of Fire Equipment Services And All Related Goods And Services,06/23/2026:23:59:00,ZA
Work To Strengthen And Improve The Characteristics Of The Rn6 From Pk344+000 To Pk 354+000 -Province De Guercif -,06/24/2026:10:00:00,MA
"The Security, Surveillance And Guarding Service At The Moulay Abdellah High School -Cpge- Safi, Boarding School, Day School And Administration",06/24/2026:10:00:00,MA
Development Work On The Administrative Buildings Of The Agricultural Technical Institute Of Kalaat M’Gouna,06/24/2026:10:00:00,MA
"Construction Of The Road Connecting The Regional Road Rr214 To The Center Of The Commune Smimou Over A Length Of 0.900 Km. - Second Tranche Douar Tilwa – Commune Smimou, Province Of Essaouira.",06/24/2026:10:00:00,MA
"Collective Catering Services For Holiday Colonies Under The Oriental Regional Directorate Of The Ministry Of Youth, Culture And Communication-Youth Department-- Single Lot -",06/24/2026:10:00:00,MA
"Completion Of Technical Studies And Monitoring Of Development, Maintenance And Extension Works Of The Headquarters Of The Province Of Taroudannt.",06/24/2026:10:00:00,MA
Acquisition Of A Wheel Loader With The Profile Group Of Territorial Communities El Waha Province Of Zagora,06/24/2026:10:00:00,MA
Development Work On The Beni Mellal Wholesale Vegetable Market In The Province Of Béni Mellal – Single Lot –,06/24/2026:10:30:00,MA
"Carrying Out Quality Control Tests For The Construction Work Of The Road Connecting The Regional Road Rr214 To The Center Of The Commune Smimou Over A Length Of 0.900 Km. - Second Tranche Douar Tilwa – Commune Smimou, Province Of Essaouira.",06/24/2026:11:00:00,MA
Technical Study And Monitoring Of The Installation And Implementation Of An Integrated Intelligent It Platform At The Level Of An Administrative Building Annex To The Wilaya Of The Rabat -Salé- Kenitra Region,06/24/2026:11:00:00,MA
Upkeep And Maintenance Of Air Conditioners Including Control Boxes (Spare Parts And Labor) Installed In The Technical Rooms Of Radio Tetra Sites Under The Tangier Police Prefecture.,06/24/2026:11:00:00,MA
The Appointment Of Health Professionals And Firms Of Health Professionals To Conduct Medical Assessments For Sassa Limpopo Region For A Period Of Three(03) Years.,06/24/2026:11:00:00,ZA
Supply Of Electricity At Kaduha Hospital,06/24/2026:11:30:00,RW
"Carrying Out Quality Control Tests On The Construction Work On The Road Connecting The El Khaouarizemi Primary School To The Id Ouhli Douar Over A Length Of 1,253 Km - Imgrad Commune, Essaouira Province.",06/24/2026:12:00:00,MA
Acquisition And Installation Of Solutions To Strengthen The Security Of Lnb S.A'S Information Systems (Relance),06/25/2026:00:00:00,BJ
"Cleaning Of Administrative Buildings Of The Headquarters Of: Dr6 And Annexes, Sp6/2 Jerada, Up Bouarfa, Up Guercif, Up El Aioun, Up Taourirt And Up Ahfir",06/25/2026:09:30:00,MA
"Technical Studies And Monitoring Of Construction Work Of Lalla Hasna College, Reporting To The Provincial Directorate Of Nador",06/25/2026:09:30:00,MA
"""Track Development Work, In Two Layers, In The Territorial Commune Of Mharza Sahel -Province El Jadida-"".",06/25/2026:10:00:00,MA
Acquisition Of Biomedical Equipment For Various Hospital Establishments Under Chuis,06/25/2026:10:00:00,MA
Technical Studies And Monitoring Of The Construction And Equipment Work Of A Modern Multi-Species Red Meat Slaughter In The Province Of Taourirt.,06/25/2026:10:00:00,MA
Construction And Duplication Study Of The Southern Safi Ring Road Connecting The Rr204 To The Rp2308 -Province Of Safi- -Marrakech-Safi Region,06/25/2026:10:00:00,MA
"Completion Work On The Reconstruction Of The Sour Tizgui Mosque At Cr Tifni, Azilal Province",06/25/2026:10:00:00,MA
Delegated Management Of The Weekly Tlat Zrarda Souk,06/25/2026:10:00:00,MA
"Work To Equip A Water Point As Part Of Solidarity Agriculture Centered On Livestock (Asce) Across Ct Tioughza, Circle Of Ifni, Province Of Sidi Ifni.",06/25/2026:10:00:00,MA
Architectural Studies And Monitoring Of The Construction Work Of A Youth Center In The Commune Tamanarte- Province Of Tata.,06/25/2026:10:00:00,MA
"Carrying Out Quality Control Tests On The Construction Work Of The Unclassified Road Connecting Rp 2214 To The Ait Ali Douar Over A Length Of 4.3 Km. — 1St Section From Profile 1 To Profile 218 Over A Length Of 3.00 Km - Commune Aguerd, Province Of Essaouira.",06/25/2026:10:00:00,MA
"Technical Control And Optimization Of Technical Studies At Lalla Hasna College, Reporting To The Provincial Directorate Of Nador",06/25/2026:10:00:00,MA
Carrying Out The Customer Satisfaction Study Using The Services And Products Of Barid Al-Maghrib'S Mail Activity (Renewable Market),06/25/2026:10:00:00,MA
Preventive And Corrective Maintenance Including The Return To Service Of A “Ge Healthcare” Brand Scanner In The Medical Imaging Department Of Saidia Proximity Hospital.,06/25/2026:10:00:00,MA
"Selling Office Equipment And Furniture 
Vanities And Vehicles Belonging To The Ahadbu Musa Group Have Been Dispensed With
And Seizures That Have Fulfilled The Legal Period And Were Not Withdrawn Within The Deadlines From The Collective Seizure",06/25/2026:10:00:00,MA
Reconstruction Work On A Structure At Pk 47+000 Of Rp2016 - Al Haouz Province,06/25/2026:10:00:00,MA
"Technical Studies And Monitoring Of The Creation Of An Integrated Urban Video Protection And Display System In The City Of Ouarzazate, Province Of Ouarzazate, Draa Tafilalt Region",06/25/2026:10:00:00,MA
Study Of Collection And Recovery Of Rainwater In Two University Establishments Reporting To The Prefecture Of Marrakech,06/25/2026:10:00:00,MA
Maintenance And Cleaning Service For The Benefit Of The Local Development Company Marrakech Moussafir,06/25/2026:10:00:00,MA
"Guarding And Surveillance Of The Premises And Surroundings Of The Bus Station 
Al Azzouzia",06/25/2026:10:00:00,MA
"Acquisition Of Photocopier Paper, Consumables For Printers And Photocopiers And Printed Matter On Behalf Of Onicl In 3 Separate Batches.",06/25/2026:10:30:00,MA
"Organization Of The Fair Of Local Trades And Products Of The Social And Solidarity Economy In The Commune Of Foum El Oued, Province Of Laâyoune, In 5 Batches",06/25/2026:10:30:00,MA
"Work On The Upgrading Of The Bab Marzouka Center In The Bab Marzouka Community, Province Of Taza",06/25/2026:11:00:00,MA
Appointment Of A Service Provider To Render Cleaning And Hygiene Services For The Department Of Land Reform And Rural Development – Regional Land Claims Commission And Lodgement Offices For A Period Of 36 Months.,06/25/2026:11:00:00,ZA
Purchase Of 134 Black Atlas Or Barcha Goats For The Benefit Of “Gie Tangarfa Lilfilaha Attadamouniya” As Part Of The Solidarity Agriculture Program Centered On Livestock (Asce) To Contribute To The Replenishment Of The National Livestock.,06/25/2026:11:00:00,MA
"Improvement Work Of Centers On Elaz, Ouled Khallouf And Ouargui In The Province Of El Kelaa Sraghna",06/25/2026:11:00:00,MA
Horizontal And Vertical Signaling Works And Safety Equipment On The Rn09 From Pk 606+960 To Pk 683+950 Linking Tamegroute To Mhamid El Ghizlane. Province Of Zagora.,06/25/2026:11:00:00,MA
Installation Work On A Transformer Substation For Public Lighting Supply On The Provincial Road 2014 Commune Tamesloht,06/25/2026:11:00:00,MA
"Geotechnical Study And Construction And Duplication Expertise Of The Southern Safi Ring Road Connecting The Rr204 To The Rp2308 - Province Of Safi 
Marrakech-Safi Region",06/25/2026:11:00:00,MA
"Carrying Out Quality Control Tests On The Construction Work Of The Unclassified Road Linking Rp 2201 And Douar Azrou Over A Length Of 2 Km - 1ʳᵉ Slice 1,080 Km - Sidi Ahmed Essayeh Commune, Essaouira Province.",06/25/2026:11:00:00,MA
"Rental Of Commercial Premises, Located In Hay Nahda, Commune Outat El Haj, Province Of Boulemane.",06/25/2026:11:00:00,MA
"Construction Work Of The Retarders    
                       Of Speed In The Community Of Tit Mellil.",06/25/2026:11:00:00,MA
Maintenance Work On Various Streets And Sidewalks In The Hay Hassani District,06/25/2026:11:30:00,MA
Environmental Treatment Works On Rn 17 From Pk 780+000 To Pk 786+000 And From Pk 844+000 To Pk 886+000 And From Rp1520 From Pk 0+050 To Pk 24+000 On The Road Network Dependent On The Dpetl Of Zagora (Pc 2026).Province Of Zagora.,06/25/2026:12:00:00,MA
Construction Of The Town Hall Of The Klouékanmè Commune (Relance),06/26/2026:00:00:00,BJ
Recruitment Of 2Nd Senior Ai/Ml Engineer- Individual Consultant For The Integrated Financial Management Information System (Ifmis),06/26/2026:10:00:00,RW
"Assigning A Lawyer Or A Professional Law Firm To Represent The Sahara-Trabsa Pipe Transport Company In Its Legal Rights And Defend It Before The Courts And Other Judicial Bodies For The Years 2026, 2027 And 2028.",06/26/2026:10:00:00,TN
Invitation To The Built Environment Professionals For The Establishment Of A Panel Of Consultants For The Eastern Cape Department Of Transport For A Period Of Thirty-Six (36) Months.,06/26/2026:11:00:00,ZA
Eoi - Mauritius - Consultancy Services To Develop The Sustainable Investment Guidelines And Undertake The Capacity Building Training - Mauritius Sustainable Investment Guidelines Support Project,06/26/2026:11:00:00,MU
"Erratum And Addendum - Rehabilitation, Renovations & Refurbishments To Various Dsd Service Offices Cluster 5 (Idutywa Cluster Offices, Idutywa Multi-Purpose, Ngqamakhwe)",06/26/2026:11:00:00,ZA
"Erratum And Addendum - Rehabilitation, Renovations & Refurbishments To Various Dsd Service Offices Cluster 4 (Mdantsane Nu 1, Silver Crown, John X Merriman Ycc, House On The Rock)",06/26/2026:11:00:00,ZA
"Erratum And Addendum -Rehabilitation, Renovations & Refurbishments To Various Dsd Service Offices – Cluster 3 (Cathcart, Stutterheim, Keiskammahoek, Bhisho Youth Care Centre)",06/26/2026:11:00:00,ZA
"Supply, Delivery And Implementation Of Road Marking Services And Erection Of Permanent Road Signage On Projects Implemented Through In House Construction Teams For A Period Of Thirty-Six (36) Months",06/26/2026:11:00:00,ZA
"Notice Of Open National Call For Tender N°003/Aono/J10/ Sigamp /Cdpm/2026 Of 04/28/2026 For Rehabilitation Work On Certain School Infrastructures And Public Buildings In Certain Districts Of The Department Of Nyong And So'O, Central Region. (In Emergency Procedure) In Three (03) Lots.",06/26/2026:12:00:00,CM
"Notice Of Call For Tender N°067/Aono/Uyii/Cipm/2025 Of June 1, 2026 For The Acquisition, Delivery And Installation Of A 35 Kva Electrogen Set And An Inverter For The Benefit Of The Economic Policy Management (Gpe) Training Program.",06/26/2026:13:00:00,CM
"Notice Of National Call For Tender Open Under Emergency Procedure N°004/Aono/Uyii/Cipm/2026 Of June 1, 2026 For The Acquisition And Supply Of Computer Equipment, Intended For Local Hosting Of The Digital Campus Of The Management Training Program Of Economic Policy (Gpe).",06/26/2026:13:00:00,CM
"Notice Of National Call For Tenders Open Under Emergency Procedure N°094/Aono/Uyii/2025 Of June 1, 2026 For The Acquisition, Supply And Installation Of Teaching Furniture And Technological Equipment For The Economic Policy Management Training Program (Gpe).",06/26/2026:13:00:00,CM
Ami - Multinational - Individual Consultant To Conduct A Study On The Financial Sustainability Of The Central African Regional Electricity Regulatory Commission (Correac) - Padcre,06/26/2026:15:30:00,GA
Ami - Multinational - Consultancy Service (Firm) For The Study On The Comparison And Harmonization Of Electricity Tariffs And The Development Of A Framework And Tool For Evaluating Cost Reflectivity - Padcre,06/26/2026:15:30:00,GA
Commercial Director,06/29/2026:00:00:00,RW
Sales Officer,06/29/2026:00:00:00,RW
Senior Corporate Lawyer,06/29/2026:00:00:00,RW
"Delimitation, Materialization And Registration In The Land Register Of 16 Public And Private Domains Of Educational Establishments In The Commune Of Péhunco",06/29/2026:00:00:00,BJ
"Itb - Boz/Hq/Onb/2610001548/2026-Tender For The Provision Of Network Edge Next Generation Firewalls, Hardware, Software And Licenses For The Bank Of Zambia Head Office In Lusaka And Regional Office In Ndola",06/29/2026:00:00:00,ZM
"Hq/Onb/2610000753/2026 -Tender For The Supply, Delivery And Installation/Configuration Of Splunk App Dynamics (Apm) Monitoring Systems At Bank Of Zambia",06/29/2026:00:00:00,ZM
Ifb - Malawi - Upgrades Of Natswitch System - Dfic,06/29/2026:10:00:00,MW
Presidential Innovation Fair Stand Design,06/29/2026:10:00:00,ZW
"Geotechnical Study, Receipt Of Excavation Founds And Quality Control Of The Construction Work Of A Youth House In The Commune Tafraout El Mouloud - Province Of Tiznit - Single Lot.",06/29/2026:10:00:00,MA
"Equipment Works With Solar Pumping System For Water Points In The Communities Of Beni Mathar, Ouled Sidi Abdelhakem, Ouled Ghziel, Tiouli And Lmrija, Province Of Jerada",06/29/2026:10:00:00,MA
"“Organization Of The Thematic Fair Of Local Craft Products In The Souss Massa Region, In 5 Lots",06/29/2026:10:30:00,MA
"Geotechnical Study, Receipt Of Excavation Founds And Quality Control Of The Construction Work Of A Youth Center In The Commune Tigzmirte - Province Of Tata - Single Lot.",06/29/2026:11:00:00,MA
"Open National Call For Tender File N°05/Aono/C-Mfou/Cipm/2026 Of June 1, 2026 Under Emergency Procedure For Rehabilitation Work On The Public Schools Of Kamba And Messeng, In The Commune Of Mfou, Department Of Mefou And Afamba, Central Region.",06/29/2026:11:00:00,CM
Installation Of Paint Protection Unit On Eight (8) Management Vehicles,06/29/2026:11:00:00,ZW
"Appointment Of A Service Provider For Electrical Infrastructure Upgrade Project: Supply And Install A 1250 Kva Transformer, Removal Of Existing Transformer, Db Rewiring, Lighting And Small Power Rectification, Earthing & Lightning Protection Upgrades With Three-Year Maintenance Services At The Cidb Head Office In Centurion",06/29/2026:11:00:00,ZA
Provision Of Batching Services,06/29/2026:11:45:00,ZW
Supply And Delivery Of Materials For Building Improvements,06/29/2026:11:59:00,ZW
"Tender Notice For Suppliers’ Framework Agreements-Mogadishu-Baidoa-Hudur-Wajid-Elbarde, Kismayo, Garowe & Eyl Offices.",06/30/2026:00:00:00,SO
Construction Of A 3-Class Module + Equipment + Office + Store + 4-Cabin Latrine Modules + Solar Lighting At Epp Tancé/C,06/30/2026:00:00:00,BJ
"Tender For The Supply, Delivery, And Installation Of 15Kva And 3Kva Uninterruptible Power Supply (Ups) Systems",06/30/2026:00:00:00,ZM
Tender For Rehabilitation Of St Monica Road In Kanyama Ward Of Kanyama Constituency 2026,06/30/2026:00:00:00,ZM
Construction Of Storage Shed At Katembula Under Zambia Devolution Support Program In Lufwanyama District.,06/30/2026:00:00:00,ZM
Tender For Conversion Of Offices Into Student Accommondation And Associated External Works At Levy Mwanawasa Medical University In Lusaka,06/30/2026:00:00:00,ZM
"Tender For The Supply, Installation, Configuration, And Commissioning Of 150Tb Storage Engines And Ai/Ml Gpu-Accelerated Server Platform - Infratel-Capex-2026-029/35",06/30/2026:00:00:00,ZM
Tender For Paving Of Gravel Road And Installation Of Electric Fence At Chinika Bank Property Boz/Onb/2610001210/2026,06/30/2026:00:00:00,ZM
"Lmmu/Onb/Gs/06/2026: Tender For The Supply, Delivery And Installations Wet Laboratory Equipments For School Of Health Sciences At Levy Mwanawasa Medical University",06/30/2026:00:00:00,ZM
Solar Technician,06/30/2026:00:00:00,RW
Solar Sales & Business Development Officer,06/30/2026:00:00:00,RW
"Tender For The Supply, Delivery, And Installation Of Forty-Eight (48) Telecom Grade Lithium Batteries",06/30/2026:00:00:00,ZM
Supply And Delivery Of Wifi Access Points And Network Controller,06/30/2026:04:00:00,ZW
Supply And Delivery Of Bolts And Nuts On An As And When Required Basis At Matimba Power Station Over A Period Of 60 Months,06/30/2026:10:00:00,ZA
"Regret Letter For Supply, Delivery And Installation Of Canteen Equipment At Kriel Power Station On A Once-Off Basis.",06/30/2026:10:00:00,ZA
Publication Of Bidders For Electricity Bill Payment Services For A Period Of Four (4) Years,06/30/2026:10:00:00,ZA
Regret - Supply And Delivery Of Control And Instrumentation Spares At Arnot Power Station For Sixty (60) Months,06/30/2026:10:00:00,ZA
"Mwp2989Dx: Notification Of Award - Manufacture, Supply And Delivery Of Phase Conductors Cables, Aerial Bundled Conductors With Bare Or Neutral Supporting Conductors (Abc), Low Voltage (Lv) Power & Control Cables, Medium Voltage (Mv) Cables And Concentric Cables On An “As And When Required” Basis For The Gauteng Cluster For A Period Of 3 Years",06/30/2026:10:00:00,ZA
Supply And Delivery Of Bolts And Nuts On An As And When Required Basis At Matimba Power Station Over A Period Of 60 Months,06/30/2026:10:00:00,ZA
Notification Of Award - Drakensberg Power Station Fire Detection System Contract,06/30/2026:10:00:00,ZA
Building An Education And Rehabilitation Center For Minors In The Organic Movement In Douz-Kebli,06/30/2026:10:00:00,TN
"Supply, Installation And Commissioning Of A Pilot Unit For The Production Of Struvite From Wastewater – Spore-Med Project (Prima)",06/30/2026:10:00:00,TN
Assigning An Expert To Prepare A Study On Green Professions In Tunisia And Propose Guidelines For Developing Them According To Market Needs And In Line With The Objectives Of The Ecological Transition Within The Framework Of The (Parttec) Project.,06/30/2026:10:00:00,TN
Acquisition Of 31 High-End Smartphones Intended For Intensive Professional Use,06/30/2026:10:00:00,TN
The Selection Of An Expert To Carry Out A Diagnosis Of The State Of Play Of The Ecological Transition And Support The Design And Management Of Multi-Actor Hubs As Part Of The “Territorial Partnership For The Ecological Transition In Tunisia (Parttec)” Project.,06/30/2026:10:00:00,TN
Study For The Reconstruction Of A Work Of Art On Oued Sebou At Pk 58+670 Of The Rn 27 (Ex Pk 15+377 Of The Rr413) - Single Lot - Province Of Sidi Kacem,06/30/2026:10:00:00,MA
"Construction Work On A Communal Hygiene Office In The Center Of Tata, Tata Province.",06/30/2026:10:00:00,MA
"Regret Letter For Supply, Delivery And Installation Of Canteen Equipment At Kriel Power Station On A Once-Off Basis.",06/30/2026:10:00:00,ZA
Building 02 Shops To Exploit And Value Agricultural Products In Al-Fawwar,06/30/2026:10:30:00,TN
"Notification Of Award: Mwp2989Dx - Manufacture, Supply And Delivery Of Phase Conductors Cables, Aerial Bundled Conductors With Bare Or Neutral Supporting Conductors (Abc), Low Voltage (Lv) Power & Control Cables, Medium Voltage (Mv) Cables And Concentric Cables On An “As And When Required” Basis For The Gauteng Cluster For A Period Of 3 Years",06/30/2026:11:00:00,ZA
Construction Work On Cemetery Fences With A Metal Grid In The Community Of Jnane Bouih - Province Of Youssoufia,06/30/2026:11:00:00,MA
"Development Work Of The Ouled Yaagoub, Ouled Msabel, Ouled Bouali Louad And Ouled Omer Centers In The Province Of El Kelaa Sraghna",06/30/2026:11:00:00,MA
Work To Create A Local Land In Douar Benomar Commune Tamesloht Province Of Alhaouz,06/30/2026:11:00:00,MA
Supply And Delivery Of Animal Feed (Poultry And Piggery) For Alfred Nzo District.,06/30/2026:11:00:00,ZA
Appointment Of A Service Provider For Repair And Maintenance Of Bpdm Exisitng Reprographic Equipment In The Municipality For A Period Of Thirty (36) Months,06/30/2026:11:00:00,ZA
Procurement Of Ict Gadgets For Board Members,06/30/2026:11:30:00,ZW
Retendering-Supply And Delivery Of Building Materials,06/30/2026:11:59:00,ZW
Appointment Of A Service Provider For The Development And Implementation Of Rural Roads Management System (Rrams) For Bojanala Platinum District Municipality For A Period Of Three (3) Years,06/30/2026:12:00:00,ZA
Consultation For The Appointment Of An Auditor For The Years 2025-2026 - 2027 For Trapsa,06/30/2026:17:00:00,TN
Purchasing And Transporting Submersible Cables,07/01/2026:09:00:00,TN
The Selection Of An Expert To Support A Business Group For Sustainability Reporting According To The Gri (Global Reporting Initiative) Framework As Part Of The Project To Support The Ecological Transition Of The Mobility Industry “Pate -Im”,07/01/2026:10:00:00,TN
Acquisition Of Administrative Cars For The Benefit Of The National Land Office For The Year 2026,07/01/2026:10:00:00,TN
"Execution Of Maintenance And Rehabilitation Work On Hill Lakes In The Governorate Of Zaghouan (Choaabet Kefia, Errezien, Bouchbib And Erromaine Lakes)",07/01/2026:10:00:00,TN
Acquisition And Transfer Of Submersible Channels And Hydromechanical Equipment,07/01/2026:10:00:00,TN
Maintenance And Repair Of Electrical Equipment Of Mv/Lv Substations In The Tangier-Asilah Production Sector,07/01/2026:10:00:00,MA
"Supply, Installation And Start-Up Of Electrogen Set Of Edderrak Deberkane Provincial Hospital",07/01/2026:10:00:00,MA
Research Work For Non-Apparent Leaks At The Raouz Adduction Level.,07/01/2026:10:00:00,MA
The Selection Of An Expert To Support A Business Group For Sustainability Reporting According To The Gri (Global Reporting Initiative) Framework As Part Of The Project To Support The Ecological Transition Of The Mobility Industry “Pate -Im”,07/01/2026:10:00:00,TN
"Design, Development And Implementation Of A National Digital Platform For The Organization Of Sporting Events",07/01/2026:10:00:00,TN
Maintenance Of Hill Lakes,07/01/2026:10:10:00,TN
The Purchase Of Office Furniture For The Various Services Of The Casablanca Police Headquarters In A Single Lot.,07/01/2026:10:30:00,MA
Rendering Of Security Services For Department Of Public Works And Infrastructure: Ethekwini Region At Amawele Building For A Period Of Thirty Six (36)Months.,07/01/2026:11:00:00,ZA
"Procurement, Supply And Delivery Of Samsung Tablets- Galaxy 10 Tab",07/01/2026:11:00:00,ZW
Rendering Security Services For Department Of Public Works And Infrastructure: Ethekwini Region For A Period Of Thirty-Six (36) Months At Ethekwini Regional Office.,07/01/2026:11:00:00,ZA
Etude Du Ppi Ouled Khalfallah,07/02/2026:09:30:00,TN
"Providing Services For Sweeping And Cleaning Roads And Sidewalks, And Removing Plastic Waste And The Like In The Municipality Of Fahs",07/02/2026:10:00:00,TN
"Study To Widen And Strengthen Rp 4237
From Pk 0+000 To Pk 10+230 Over 10,230 Km
- Single Lot - Province Of Sidi Kacem -",07/02/2026:10:00:00,MA
Acquisition And Commissioning Of An Antiviral Solution,07/02/2026:10:00:00,TN
Uniforms And Protective Supplies For The Benefit Of Education Workers And Practical Counselors In Monastir,07/02/2026:10:00:00,TN
Project For The Development And Beautification Of Green Spaces And Entrances To The City Of Soukra For The Year 2026 Lot No. 01,07/03/2026:09:00:00,TN
Redevelopment And Pre-Installation Work Of New Catheterization Equipment In The Cardiology Department,07/03/2026:10:00:00,TN
Artificial Wrapping Works For A Multi-Purpose Outdoor Sports Field At The Camping And Holiday Center In Ain Sultan,07/03/2026:10:00:00,TN
"It Equipment For Public Administration Institutions And For The Training Of Civil Servants, State Agents, Youth, And Women In Ict",07/03/2026:10:30:00,MZ
Supply And Delivery Of Footwear And Leather Products To The State For The Period Ending 31 March 2029,07/03/2026:11:00:00,ZA
The Appointment Of A Service Provider To Render Internal Audit Services For A Period Of Three (3) Years To South Cape Tvet College.,07/03/2026:11:00:00,ZA
"Civil Engineering Services For The Rooidakke Housing Project Phase 5-6, Grabouw",07/03/2026:12:00:00,ZA
Monitoring And Control Studies For The Construction And Equipment Of The Dispensary Building And A Laboratory At The Cs Of Péhunco With Solar Installation + Block Of Latrines And Showers Of Four Cabins And Installation And Equipment Of A Blood Transfusion Center And Construction And Equipment Of An Isolated Dispensary In Nimgoussourou (Tobré) With Solar Installation + Block Of Latrines And Showers Of Four Cabins (2Lots),07/07/2026:00:00:00,BJ
Acquisition And Installation Of Mechanisms For Automatic Doors,07/07/2026:10:00:00,TN
Acquisition And Migration Of Production Equipment,07/07/2026:10:00:00,TN
Ami - Burundi - Independent Individual Consultant For The Analysis Of The Root Causes Of A Fatal Accident Occurring At The Concrete Plant On The Project Site,07/07/2026:11:59:00,BI
"Panel Of Six (06) Contractors For Building Maintenance, Alterations, Extensions And New Building Structures For A Period Of Three (03) Years, As And When Required.",07/07/2026:12:00:00,ZA
Panel Of Eight (08) Electrical Engineering Consultants To Provide Professional Engineering Services For King Sabata Dalindyebo Municipality For A Period Of Three (03) Years. (Four Additional) (Re-Advert),07/07/2026:12:00:00,ZA
Provision Of An Advertising Service On An As And When Required Basis For A Period Of Thirty-Six (36) Months,07/08/2026:10:30:00,ZA
Supply And Delivery Of Electrical Toolboxes And Electrical Testing Equipment For A Period Two (02) Years. (Re-Advert),07/08/2026:12:00:00,ZA
Panel Of Three (3) Service Providers To Supply And Deliver Of Bitumen Material For A Period Of Two Years. (Two Additional) (Re-Advert,07/08/2026:12:00:00,ZA
Construction Of A 50-Ton Warehouse For The Storage Of Tropical Products In Bouérou-Gourou,07/09/2026:00:00:00,BJ
"Supply, Installation, Testing, And Commissioning Of The Schweitzer Engineering Laboratories (Sel- 487E) Protection Scheme For The 20 Mva 66/11 Kv Transformer No. 3 At Unitra Substation, Including H-Frame And Low Voltage (Lv) Bus Support For A Period Of Six (06) Months Unitra Substation, Including H-Frame And Low Voltage (Lv) Bus Support For A Period Of Six (06) Months. (Re-Advert)",07/09/2026:12:00:00,ZA
Development Of Electricity Infrastructure Database Planning And Design For A Period Four (04) Months. (Re-Advert),07/09/2026:12:00:00,ZA
"Notice Of Open National Call For Tender N°000015/Aono/Campost/Cipm/2026 Of May 29, 2026 For The Supply And Implementation Of A Management And Steering Platform Of The 2025-2030 Strategic Development Plan Of Cameroon Postal Services (Campost).",07/09/2026:13:00:00,CM
Northern Wastewater Treatment Works: Dewatering Building Belt Press Replacement And Associated Ancillaries,07/10/2026:10:30:00,ZA
